"areaCode","age","population"
"E06000034","10_14",12326
"E06000034","15_19",9910
"E06000034","20_24",9040
"E06000034","25_29",10967
"E06000034","30_34",13465
"E06000034","35_39",13759
"E06000034","40_44",12506
"E06000034","45_49",12110
"E06000034","50_54",12031
"E06000034","55_59",10509
"E06000034","60+",32274
"E06000034","60_64",8176
"E06000034","65_69",7009
"E06000034","70_74",6890
"E06000034","75_79",4386
"E06000034","80_84",3070
"E06000034","85_89",1810
"E06000034","90+",933
"E06000035","00_04",18085
"E06000035","00_59",218627
"E06000035","05_09",19186
"E06000035","10_14",18151
"E06000035","15_19",16043
"E06000035","20_24",15946
"E06000035","25_29",19267
"E06000035","30_34",20255
"E06000035","35_39",18690
"E06000035","40_44",17600
"E06000035","45_49",17974
"E06000035","50_54",19202
"E06000035","55_59",18228
"E06000035","60+",60515
"E06000035","60_64",15242
"E06000035","65_69",12605
"E06000035","70_74",12802
"E06000035","75_79",8707
"E06000035","80_84",6007
"E06000035","85_89",3363
"E06000035","90+",1789
"E06000036","00_04",7291
"E06000036","00_59",98692
"E06000036","05_09",8139
"E06000036","10_14",8566
"E06000036","15_19",7235
"E06000036","20_24",6402
"E06000036","25_29",7255
"E06000036","30_34",8700
"E06000036","35_39",9280
"E06000036","40_44",9133
"E06000036","45_49",9099
"E06000036","50_54",9083
"E06000036","55_59",8509
"E06000036","60+",25473
"E06000036","60_64",6857
"E06000036","65_69",5459
"E06000036","70_74",4970
"E06000036","75_79",3339
"E06000036","80_84",2487
"E06000036","85_89",1468
"E06000036","90+",893
"E06000037","00_04",8559
"E06000037","00_59",117488
"E06000037","05_09",10055
"E06000037","10_14",10700
"E06000037","15_19",9412
"E06000037","20_24",7068
"E06000037","25_29",7833
"E06000037","30_34",8427
"E06000037","35_39",9454
"E06000037","40_44",10250
"E06000037","45_49",11641
"E06000037","50_54",12357
"E06000037","55_59",11732
"E06000037","60+",40977
"E06000037","60_64",9871
"E06000037","65_69",8467
"E06000037","70_74",8578
"E06000037","75_79",6142
"E06000037","80_84",4075
"E06000037","85_89",2405
"E06000037","90+",1439
"E06000038","00_04",11096
"E06000038","00_59",132882
"E06000038","05_09",11059
"E06000038","10_14",10109
"E06000038","15_19",9085
"E06000038","20_24",13219
"E06000038","25_29",13188
"E06000038","30_34",12121
"E06000038","35_39",12367
"E06000038","40_44",11295
"E06000038","45_49",10355
"E06000038","50_54",10022
"E06000038","55_59",8966
"E06000038","60+",27455
"E06000038","60_64",7120
"E06000038","65_69",5560
"E06000038","70_74",5185
"E06000038","75_79",3838
"E06000038","80_84",2877
"E06000038","85_89",1786
"E06000038","90+",1089
"E06000039","00_04",12415
"E06000039","00_59",127762
"E06000039","05_09",13070
"E06000039","10_14",12265
"E06000039","15_19",9027
"E06000039","20_24",7542
"E06000039","25_29",8674
"E06000039","30_34",10950
"E06000039","35_39",13715
"E06000039","40_44",12919
"E06000039","45_49",10383
"E06000039","50_54",9098
"E06000039","55_59",7704
"E06000039","60+",21815
"E06000039","60_64",6258
"E06000039","65_69",5105
"E06000039","70_74",3825
"E06000039","75_79",2610
"E06000039","80_84",2009
"E06000039","85_89",1287
"E06000039","90+",721
"E06000040","00_04",8383
"E06000040","00_59",114462
"E06000040","05_09",9554
"E06000040","10_14",10487
"E06000040","15_19",9320
"E06000040","20_24",6419
"E06000040","25_29",7145
"E06000040","30_34",8626
"E06000040","35_39",10147
"E06000040","40_44",10750
"E06000040","45_49",11393
"E06000040","50_54",11457
"E06000040","55_59",10781
"E06000040","60+",36811
"E06000040","60_64",8297
"E06000040","65_69",7003
"E06000040","70_74",7301
"E06000040","75_79",5557
"E06000040","80_84",4165
"E06000040","85_89",2670
"E06000040","90+",1818
"E06000041","00_04",9912
"E06000041","00_59",133689
"E06000041","05_09",12380
"E06000041","10_14",12447
"E06000041","15_19",10200
"E06000041","20_24",7676
"E06000041","25_29",8365
"E06000041","30_34",9960
"E06000041","35_39",11650
"E06000041","40_44",13293
"E06000041","45_49",13198
"E06000041","50_54",12644
"E06000041","55_59",11964
"E06000041","60+",40256
"E06000041","60_64",9685
"E06000041","65_69",7820
"E06000041","70_74",8074
"E06000041","75_79",5988
"E06000041","80_84",4296
"E06000041","85_89",2730
"E06000041","90+",1663
"E06000042","00_04",18180
"E06000042","00_59",217212
"E06000042","05_09",20962
"E06000042","10_14",20247
"E06000042","15_19",14853
"E06000042","20_24",12291
"E06000042","25_29",15725
"E06000042","30_34",18448
"E06000042","35_39",21969
"E06000042","40_44",21172
"E06000042","45_49",19226
"E06000042","50_54",17989
"E06000042","55_59",16150
"E06000042","60+",52991
"E06000042","60_64",13974
"E06000042","65_69",12073
"E06000042","70_74",10786
"E06000042","75_79",6954
"E06000042","80_84",4811
"E06000042","85_89",2691
"E06000042","90+",1702
"E06000043","00_04",12987
"E06000043","00_59",239790
"E06000043","05_09",14446
"E06000043","10_14",14610
"E06000043","15_19",17498
"E06000043","20_24",34567
"E06000043","25_29",28170
"E06000043","30_34",22558
"E06000043","35_39",19564
"E06000043","40_44",18425
"E06000043","45_49",19317
"E06000043","50_54",19903
"E06000043","55_59",17745
"E06000043","60+",51948
"E06000043","60_64",12931
"E06000043","65_69",10493
"E06000043","70_74",10252
"E06000043","75_79",7090
"E06000043","80_84",5281
"E06000043","85_89",3507
"E06000043","90+",2394
"E06000044","00_04",11839
"E06000044","00_59",173790
"E06000044","05_09",12902
"E06000044","10_14",12435
"E06000044","15_19",14039
"E06000044","20_24",24311
"E06000044","25_29",18609
"E06000044","30_34",15657
"E06000044","35_39",14149
"E06000044","40_44",11936
"E06000044","45_49",12317
"E06000044","50_54",12972
"E06000044","55_59",12624
"E06000044","60+",40902
"E06000044","60_64",10334
"E06000044","65_69",7953
"E06000044","70_74",8374
"E06000044","75_79",5738
"E06000044","80_84",4244
"E06000044","85_89",2667
"E06000044","90+",1592
"E06000045","00_04",14941
"E06000045","00_59",207572
"E06000045","05_09",15791
"E06000045","10_14",13891
"E06000045","15_19",15663
"E06000045","20_24",31324
"E06000045","25_29",25572
"E06000045","30_34",18840
"E06000045","35_39",16780
"E06000045","40_44",14339
"E06000045","45_49",13462
"E06000045","50_54",13348
"E06000045","55_59",13621
"E06000045","60+",45300
"E06000045","60_64",11322
"E06000045","65_69",9364
"E06000045","70_74",8921
"E06000045","75_79",6437
"E06000045","80_84",4538
"E06000045","85_89",2916
"E06000045","90+",1802
"E06000046","00_04",5891
"E06000046","00_59",90776
"E06000046","05_09",7232
"E06000046","10_14",7292
"E06000046","15_19",6716
"E06000046","20_24",6507
"E06000046","25_29",6876
"E06000046","30_34",6648
"E06000046","35_39",6797
"E06000046","40_44",6811
"E06000046","45_49",8491
"E06000046","50_54",10513
"E06000046","55_59",11002
"E06000046","60+",51520
"E06000046","60_64",10662
"E06000046","65_69",10446
"E06000046","70_74",11426
"E06000046","75_79",8244
"E06000046","80_84",5364
"E06000046","85_89",3329
"E06000046","90+",2049
"E06000047","00_04",25658
"E06000047","00_59",386722
"E06000047","05_09",29949
"E06000047","10_14",30024
"E06000047","15_19",29348
"E06000047","20_24",37066
"E06000047","25_29",34101
"E06000047","30_34",30856
"E06000047","35_39",31195
"E06000047","40_44",28450
"E06000047","45_49",32439
"E06000047","50_54",38266
"E06000047","55_59",39370
"E06000047","60+",146427
"E06000047","60_64",34845
"E06000047","65_69",31052
"E06000047","70_74",31144
"E06000047","75_79",21669
"E06000047","80_84",15151
"E06000047","85_89",8446
"E06000047","90+",4120
"E06000049","00_04",20193
"E06000049","00_59",272493
"E06000049","05_09",22331
"E06000049","10_14",22672
"E06000049","15_19",19575
"E06000049","20_24",16473
"E06000049","25_29",19540
"E06000049","30_34",20366
"E06000049","35_39",21955
"E06000049","40_44",22530
"E06000049","45_49",26892
"E06000049","50_54",29967
"E06000049","55_59",29999
"E06000049","60+",114174
"E06000049","60_64",25026
"E06000049","65_69",22549
"E06000049","70_74",24342
"E06000049","75_79",17660
"E06000049","80_84",12485
"E06000049","85_89",7464
"E06000049","90+",4648
"E06000050","00_04",18059
"E06000050","00_59",246999
"E06000050","05_09",20338
"E06000050","10_14",19672
