"areaCode","age","population"
"E06000032","80_84",4312
"E06000032","85_89",2452
"E06000032","90+",1372
"E06000033","0_4",11103
"E06000033","5_9",11704
"E06000033","10_14",11147
"E06000033","15_19",9327
"E06000033","20_24",9205
"E06000033","25_29",10349
"E06000033","30_34",11641
"E06000033","35_39",12513
"E06000033","40_44",12100
"E06000033","45_49",13188
"E06000033","50_54",13122
"E06000033","55_59",12235
"E06000033","60_64",9866
"E06000033","65_69",9200
"E06000033","70_74",9566
"E06000033","75_79",6498
"E06000033","80_84",4949
"E06000033","85_89",3204
"E06000033","90+",2208
"E06000034","0_4",13282
"E06000034","5_9",13148
"E06000034","10_14",12104
"E06000034","15_19",9654
"E06000034","20_24",9156
"E06000034","25_29",11296
"E06000034","30_34",13463
"E06000034","35_39",13357
"E06000034","40_44",12472
"E06000034","45_49",12092
"E06000034","50_54",12098
"E06000034","55_59",10174
"E06000034","60_64",7982
"E06000034","65_69",7109
"E06000034","70_74",6759
"E06000034","75_79",4329
"E06000034","80_84",3049
"E06000034","85_89",1852
"E06000034","90+",965
"E06000035","0_4",18326
"E06000035","5_9",19107
"E06000035","10_14",17640
"E06000035","15_19",16089
"E06000035","20_24",16329
"E06000035","25_29",19880
"E06000035","30_34",19818
"E06000035","35_39",18705
"E06000035","40_44",17258
"E06000035","45_49",18344
"E06000035","50_54",19471
"E06000035","55_59",17916
"E06000035","60_64",14814
"E06000035","65_69",12719
"E06000035","70_74",12757
"E06000035","75_79",8337
"E06000035","80_84",5952
"E06000035","85_89",3321
"E06000035","90+",1773
"E06000036","0_4",7267
"E06000036","5_9",8236
"E06000036","10_14",8248
"E06000036","15_19",7207
"E06000036","20_24",6405
"E06000036","25_29",7250
"E06000036","30_34",8627
"E06000036","35_39",9420
"E06000036","40_44",8668
"E06000036","45_49",9127
"E06000036","50_54",9128
"E06000036","55_59",8366
"E06000036","60_64",6589
"E06000036","65_69",5294
"E06000036","70_74",4890
"E06000036","75_79",3132
"E06000036","80_84",2458
"E06000036","85_89",1388
"E06000036","90+",849
"E06000037","0_4",8801
"E06000037","5_9",10255
"E06000037","10_14",10408
"E06000037","15_19",9419
"E06000037","20_24",7020
"E06000037","25_29",7899
"E06000037","30_34",8694
"E06000037","35_39",9624
"E06000037","40_44",10337
"E06000037","45_49",11850
"E06000037","50_54",12488
"E06000037","55_59",11434
"E06000037","60_64",9653
"E06000037","65_69",8472
"E06000037","70_74",8540
"E06000037","75_79",5787
"E06000037","80_84",3986
"E06000037","85_89",2396
"E06000037","90+",1387
"E06000038","0_4",11289
"E06000038","5_9",11135
"E06000038","10_14",9744
"E06000038","15_19",9337
"E06000038","20_24",13834
"E06000038","25_29",13969
"E06000038","30_34",12216
"E06000038","35_39",12890
"E06000038","40_44",11137
"E06000038","45_49",10313
"E06000038","50_54",10078
"E06000038","55_59",8691
"E06000038","60_64",6877
"E06000038","65_69",5477
"E06000038","70_74",5162
"E06000038","75_79",3784
"E06000038","80_84",2897
"E06000038","85_89",1828
"E06000038","90+",1122
"E06000039","0_4",12654
"E06000039","5_9",13065
"E06000039","10_14",11788
"E06000039","15_19",8778
"E06000039","20_24",7689
"E06000039","25_29",9076
"E06000039","30_34",11680
"E06000039","35_39",14109
"E06000039","40_44",12522
"E06000039","45_49",10106
"E06000039","50_54",9089
"E06000039","55_59",7498
"E06000039","60_64",6281
"E06000039","65_69",4968
"E06000039","70_74",3570
"E06000039","75_79",2682
"E06000039","80_84",1982
"E06000039","85_89",1275
"E06000039","90+",727
"E06000040","0_4",8615
"E06000040","5_9",9755
"E06000040","10_14",10215
"E06000040","15_19",9226
"E06000040","20_24",6325
"E06000040","25_29",7336
"E06000040","30_34",8820
"E06000040","35_39",10437
"E06000040","40_44",10788
"E06000040","45_49",11499
"E06000040","50_54",11643
"E06000040","55_59",10282
"E06000040","60_64",8027
"E06000040","65_69",7040
"E06000040","70_74",7405
"E06000040","75_79",5350
"E06000040","80_84",4188
"E06000040","85_89",2636
"E06000040","90+",1835
"E06000041","0_4",9901
"E06000041","5_9",12350
"E06000041","10_14",11878
"E06000041","15_19",9996
"E06000041","20_24",7630
"E06000041","25_29",8044
"E06000041","30_34",9917
"E06000041","35_39",11806
"E06000041","40_44",12826
"E06000041","45_49",13093
"E06000041","50_54",12619
"E06000041","55_59",11591
"E06000041","60_64",9321
"E06000041","65_69",7813
"E06000041","70_74",8017
"E06000041","75_79",5755
"E06000041","80_84",4275
"E06000041","85_89",2694
"E06000041","90+",1593
"E06000042","0_4",18676
"E06000042","5_9",21097
"E06000042","10_14",19361
"E06000042","15_19",14826
"E06000042","20_24",12591
"E06000042","25_29",15870
"E06000042","30_34",19332
"E06000042","35_39",22128
"E06000042","40_44",20710
"E06000042","45_49",19030
"E06000042","50_54",17886
"E06000042","55_59",15971
"E06000042","60_64",13797
"E06000042","65_69",12107
"E06000042","70_74",10257
"E06000042","75_79",6720
"E06000042","80_84",4661
"E06000042","85_89",2777
"E06000042","90+",1660
"E06000043","0_4",13331
"E06000043","5_9",14438
"E06000043","10_14",14284
"E06000043","15_19",17669
"E06000043","20_24",34025
"E06000043","25_29",28692
"E06000043","30_34",21685
"E06000043","35_39",19920
"E06000043","40_44",18415
"E06000043","45_49",19915
"E06000043","50_54",20281
"E06000043","55_59",16931
"E06000043","60_64",12460
"E06000043","65_69",10487
"E06000043","70_74",10094
"E06000043","75_79",6971
"E06000043","80_84",5249
"E06000043","85_89",3622
"E06000043","90+",2416
"E06000044","0_4",12212
"E06000044","5_9",12996
"E06000044","10_14",12114
"E06000044","15_19",14173
"E06000044","20_24",23995
"E06000044","25_29",19280
"E06000044","30_34",15509
"E06000044","35_39",14087
"E06000044","40_44",11727
"E06000044","45_49",12879
"E06000044","50_54",13116
"E06000044","55_59",12459
"E06000044","60_64",9925
"E06000044","65_69",8007
"E06000044","70_74",8319
"E06000044","75_79",5557
"E06000044","80_84",4288
"E06000044","85_89",2650
"E06000044","90+",1612
"E06000045","0_4",15396
"E06000045","5_9",15600
"E06000045","10_14",13349
"E06000045","15_19",15778
"E06000045","20_24",31921
"E06000045","25_29",25665
"E06000045","30_34",18304
"E06000045","35_39",16868
"E06000045","40_44",14040
"E06000045","45_49",13645
"E06000045","50_54",13798
"E06000045","55_59",13193
"E06000045","60_64",11090
"E06000045","65_69",9408
"E06000045","70_74",8935
"E06000045","75_79",6168
"E06000045","80_84",4525
"E06000045","85_89",2974
"E06000045","90+",1863
"E06000046","0_4",6220
